us_since_last_capture,packet_num,channel_num,access_addr,pdu,tx,rx,payload_length,advertising_addr,data,crc
3998205,3724,39,8e89bed6,ADV_IND,1,0,37,9a1cf6855f4a,41f6c5442059dee18f1ba5af427b6ecd64eb62669024eff0478df257a13da7,1.0
1999006,3739,39,8e89bed6,ADV_IND,1,0,33,eca15776d208,1eef4c0012990096431e9ca259486825b31915412b6436d2b30933,1.0
3997910,3741,39,8e89bed6,ADV_IND,1,0,37,9a9cf4c8d208,d1d6c5c42059dee1cf1ba5af427b4ecd60eb6222902ceff0c78dda57a13da7,1.0
1999043,3799,39,8e89bed6,ADV_IND,1,1,37,6c815776d088,1eff4c0056191096531f9ea2496a6025b31d15c16b7436d2f30933a8d3437c,1.0
4029912,3802,39,8e89bed6,ADV_IND,1,0,37,9a9cfe855f4a,c1d445442059dee38f1ba5af427b4ecd60ab6222902ccff0c78dd257a135a7,1.0
2030853,3815,39,8e89bed6,ADV_IND,1,0,37,9a9c7686d208,c3f6c5442059dee18f1ba5af42734ecde8eb6222982ceff0c78dd257a13ca7,1.0
7995748,3823,39,8e89bed6,ADV_IND,1,0,37,ba815756d208,c1c6c5442059dee0899be5af026b4ecd60eb2026902ceff0c6add257a13fa7,1.0
14025044,3851,39,8e89bed6,ADV_IND,1,0,37,9a8cf796d208,c3d6c5442059dee18f1ba5af427b4ecd60eb6232922ceff0c70dd255a13d37,1.0
5996792,3859,39,8e89bed6,ADV_IND,1,0,37,9a88f6855208,c1d6c54429f99ee9c713a5a6427b4ecd40eb6222902ceff0878dd257a13da7,1.0
11895071,3947,39,8e89bed6,ADV_IND,1,0,37,9a9cf756d208,c3d6c5402859dee1cf1ba5af42794acd60cb6226b02deff0c7edd257a13da7,1.0
1999060,3994,39,8e89bed6,ADV_IND,1,0,37,9abcf6855fea,c5d04744215bdee18f1ba5ae427b4ecc60eb622290aceff0c70dd277a13da7,1.0
4029965,4007,39,8e89bed6,ADV_IND,1,0,37,9f9cf756d208,c1d687442059dee18b19a5af027b4ecd60eb6222902cefe0c58dd377a13f07,1.0
3997834,4035,39,8e89bed6,ADV_IND,1,0,37,9a9cd656d208,c1d6c5042119dee18d1ba5af427b468d60eb622ad2acfff0d78cd257a03da7,1.0
6028818,4103,39,8e89bed6,ADV_IND,1,0,37,9a915756d208,c1f6c5442059cee18f18a5af427b4ecd60eb6222b02ceff0c68dd257b1bda7,1.0
1998895,4213,39,8e89bed6,ADV_IND,1,0,37,e4811756d208,1ebf4c0012191096431f9ca2596a6825b31d15412f6536d2f30933a0970392,1.0
1998940,4345,39,8e89bed6,ADV_IND,1,0,37,989d5756d208,c0d6c50c2459d6e18f1ba5af427b4ecd60eb6222902ceff0c70dd257a13f87,1.0
3998125,4361,39,8e89bed6,ADV_IND,1,0,37,9a9cff56d208,81d6c54420595ee18f1ba7af427b4fcd60eb62239029eff0870d5357a13da7,1.0
12026229,4579,39,8e89bed6,ADV_IND,1,0,37,ec835776c208,1ebf4c0012191096431f9ca2496a6825b71915412b6436d2f30931a0934359,1.0
1998860,4613,39,8e89bed6,ADV_IND,1,0,37,9a9cf6877f48,41d6c5462059d7e18f1ba5af427b4ec960cf6222902cefe0c58dd057a33d27,1.0
5996998,4653,39,8e89bed6,ADV_IND,1,0,37,ec815756c00c,1eff4c0012191096431f9ca0496a6025b31d15412b6436d2f30931a0970379,1.0
9995097,4779,39,8e89bed6,ADV_IND,1,0,37,1a9c7756d208,c1d2c5442051dfe11f1ba5afd27b4ecd60eb6222122ceff0c78dd257213ca7,1.0
3997769,4785,39,8e89bed6,ADV_IND,1,0,37,9a8cf6854f48,c1d6456420d9dee987bba5a7427bcecd60ef622a922ceff0c78dd247a13da7,1.0
3997619,4789,39,8e89bed6,ADV_IND,1,0,37,ec815576d208,1eef4c0052191096431fdca2496a6825b31915412b6436d6f30133a093030c,1.0
20022070,4799,39,8e89bed6,ADV_IND,1,0,37,9a9cfe86d208,c1d6c54428599ee18f1ba5af427b4ecd60eb62a2902ceff0478dd243e13da7,1.0
9994751,4866,39,8e89bed6,ADV_IND,1,0,37,1a94b696d208,c1d6c5442059dee14f1ba5af42734ecd20ab6222902cefb1c68dd247a13da7,1.0
